Episode 1746 | Reward: 388.56
Episode 1747 | Reward: 303.07
Episode 1748 | Reward: 527.86
Episode 1749 | Reward: 496.29
Episode 1750 | Reward: 432.81
Model saved at episode 1750.
Episode 1751 | Reward: 348.69
Episode 1752 | Reward: 503.67
Episode 1753 | Reward: 511.03
Episode 1754 | Reward: 390.88
Episode 1755 | Reward: 392.30
Episode 1756 | Reward: 400.88
Episode 1757 | Reward: 493.44
Episode 1758 | Reward: 399.12
Episode 1759 | Reward: 538.82
Episode 1760 | Reward: 522.14
Episode 1761 | Reward: 516.40
Episode 1762 | Reward: 496.04
Episode 1763 | Reward: 505.11
Episode 1764 | Reward: 365.37
Episode 1765 | Reward: 360.60
Episode 1766 | Reward: 507.41
Episode 1767 | Reward: 485.37
Episode 1768 | Reward: 483.75
Episode 1769 | Reward: 358.53
Episode 1770 | Reward: 509.87
Episode 1771 | Reward: 486.37
Episode 1772 | Reward: 501.92
Episode 1773 | Reward: 514.38
Episode 1774 | Reward: 358.01
Episode 1775 | Reward: 350.75
Episode 1776 | Reward: 509.29
Episode 1777 | Reward: 472.68
Episode 1778 | Reward: 481.34
Episode 1779 | Reward: 458.74
Episode 1780 | Reward: 448.25
Episode 1781 | Reward: 472.74
Episode 1782 | Reward: 332.80
Episode 1783 | Reward: 479.38
Episode 1784 | Reward: 482.65
Episode 1785 | Reward: 492.97
Episode 1786 | Reward: 500.30
Episode 1787 | Reward: 505.67
Episode 1788 | Reward: 488.83
Episode 1789 | Reward: 498.06
Episode 1790 | Reward: 488.73
Episode 1791 | Reward: 512.94
Episode 1792 | Reward: 500.26
Episode 1793 | Reward: 515.16
Episode 1794 | Reward: 527.52
Episode 1795 | Reward: 384.80
Episode 1796 | Reward: 371.93
Episode 1797 | Reward: 518.47
Episode 1798 | Reward: 517.54
Episode 1799 | Reward: 517.53
Episode 1800 | Reward: 517.07
Model saved at episode 1800.
Episode 1801 | Reward: 537.69
Episode 1802 | Reward: 391.16
Episode 1803 | Reward: 456.35
Episode 1804 | Reward: 534.91
Episode 1805 | Reward: 522.32
Episode 1806 | Reward: 538.87
Episode 1807 | Reward: 527.38
Episode 1808 | Reward: 532.14
Episode 1809 | Reward: 396.69
Episode 1810 | Reward: 531.06
Episode 1811 | Reward: 545.75
Episode 1812 | Reward: 540.61
Episode 1813 | Reward: 402.61
Episode 1814 | Reward: 412.08
Episode 1815 | Reward: 531.07
Episode 1816 | Reward: 541.55
Episode 1817 | Reward: 536.28
